transcript_id,role,section,lemma,upos,count
creativity_0001,user,dynamic,lot,NOUN,1
creativity_0001,user,dynamic,mystical,ADJ,1
creativity_0001,user,dynamic,name,NOUN,1
creativity_0001,user,dynamic,of,ADP,4
creativity_0001,user,dynamic,off,ADP,1
creativity_0001,user,dynamic,often,ADV,1
creativity_0001,user,dynamic,one,NOUN,1
creativity_0001,user,dynamic,or,CCONJ,2
creativity_0001,user,dynamic,reason,NOUN,1
creativity_0001,user,dynamic,so,ADV,1
creativity_0001,user,dynamic,sometimes,ADV,1
creativity_0001,user,dynamic,song,NOUN,1
creativity_0001,user,dynamic,sound,NOUN,1
creativity_0001,user,dynamic,specific,ADJ,1
creativity_0001,user,dynamic,sure,ADJ,1
creativity_0001,user,dynamic,tell,VERB,1
creativity_0001,user,dynamic,that,DET,1
creativity_0001,user,dynamic,that,PRON,1
creativity_0001,user,dynamic,the,DET,3
creativity_0001,user,dynamic,there,ADV,1
creativity_0001,user,dynamic,thing,NOUN,1
creativity_0001,user,dynamic,this,PRON,1
creativity_0001,user,dynamic,throw,VERB,1
creativity_0001,user,dynamic,to,PART,3
creativity_0001,user,dynamic,too,ADV,1
creativity_0001,user,dynamic,very,ADV,1
creativity_0001,user,dynamic,wall,NOUN,1
creativity_0001,user,dynamic,want,VERB,2
creativity_0001,user,dynamic,way,ADV,1
creativity_0001,user,dynamic,we,PRON,1
creativity_0001,user,dynamic,what,PRON,1
creativity_0001,user,dynamic,when,ADV,1
creativity_0001,user,dynamic,will,AUX,1
creativity_0001,user,extra_comments,",",PUNCT,1
creativity_0001,user,extra_comments,.,PUNCT,1
creativity_0001,user,extra_comments,?,PUNCT,1
creativity_0001,user,extra_comments,I,PRON,1
creativity_0001,user,extra_comments,all,DET,1
creativity_0001,user,extra_comments,be,AUX,1
creativity_0001,user,extra_comments,can,AUX,1
creativity_0001,user,extra_comments,close,VERB,1
creativity_0001,user,extra_comments,come,VERB,1
creativity_0001,user,extra_comments,cool,ADJ,1
creativity_0001,user,extra_comments,for,ADP,1
