group,category,pos_group,lemma,token_count,cc_total,c_total,lemma_in_cluster,p_lemma_given_cluster_cat,p_lemma_given_cluster,distinctiveness_cluster
Content writing,AUTHORSHIP,NOUN,word,19,635,1888,19,0.027857142857142858,0.009984639016897081,1.0260415958332745
Content writing,AUTHORSHIP,NOUN,writer,22,635,1888,22,0.03214285714285714,0.01152073732718894,1.0260415958332745
Content writing,AUTHORSHIP,NOUN,writing,56,635,1888,56,0.08071428571428571,0.028929851510496672,1.0260415958332745
Content writing,AUTHORSHIP,NOUN,asset,25,635,1888,25,0.03642857142857143,0.013056835637480798,1.026041595833274
Content writing,AUTHORSHIP,NOUN,blog,17,635,1888,17,0.025,0.008960573476702509,1.026041595833274
Content writing,AUTHORSHIP,NOUN,book,15,635,1888,15,0.02214285714285714,0.007936507936507936,1.026041595833274
Content writing,AUTHORSHIP,NOUN,generation,13,635,1888,13,0.019285714285714285,0.0069124423963133645,1.026041595833274
Content writing,AUTHORSHIP,NOUN,page,17,635,1888,17,0.025,0.008960573476702509,1.026041595833274
Content writing,AUTHORSHIP,NOUN,story,18,635,1888,18,0.02642857142857143,0.009472606246799796,1.026041595833274
Content writing,AUTHORSHIP,NOUN,website,16,635,1888,16,0.023571428571428573,0.008448540706605223,1.026041595833274
Content writing,AUTHORSHIP,NOUN,list,7,635,1888,7,0.010714285714285714,0.0038402457757296467,1.0260415958332736
Content writing,AUTHORSHIP,NOUN,music,1,635,1888,1,0.002142857142857143,0.0007680491551459293,1.0260415958332736
Content writing,AUTHORSHIP,NOUN,picture,1,635,1888,1,0.002142857142857143,0.0007680491551459293,1.0260415958332736
Content writing,AUTHORSHIP,NOUN,scene,1,635,1888,1,0.002142857142857143,0.0007680491551459293,1.0260415958332736
Content writing,AUTHORSHIP,VERB,craft,2,635,1888,2,0.0035714285714285713,0.0012800819252432156,1.0260415958332745
Content writing,AUTHORSHIP,VERB,create,38,635,1888,38,0.055,0.01971326164874552,1.0260415958332745
Content writing,AUTHORSHIP,VERB,design,19,635,1888,19,0.027857142857142858,0.009984639016897081,1.0260415958332745
Content writing,AUTHORSHIP,VERB,draft,6,635,1888,6,0.009285714285714286,0.0033282130056323605,1.0260415958332745
Content writing,AUTHORSHIP,VERB,draw,9,635,1888,9,0.013571428571428571,0.00486431131592422,1.0260415958332745
Content writing,AUTHORSHIP,VERB,produce,9,635,1888,9,0.013571428571428571,0.00486431131592422,1.0260415958332745
Content writing,AUTHORSHIP,VERB,publish,8,635,1888,8,0.012142857142857143,0.004352278545826933,1.0260415958332745
Content writing,AUTHORSHIP,VERB,suggest,5,635,1888,5,0.007857142857142858,0.0028161802355350742,1.0260415958332745
Content writing,AUTHORSHIP,VERB,upload,2,635,1888,2,0.0035714285714285713,0.0012800819252432156,1.0260415958332745
Content writing,AUTHORSHIP,VERB,generate,25,635,1888,25,0.03642857142857143,0.013056835637480798,1.026041595833274
Content writing,AUTHORSHIP,VERB,write,67,635,1888,67,0.09642857142857143,0.03456221198156682,1.026041595833274
Content writing,AUTHORSHIP,VERB,build,7,635,1888,7,0.010714285714285714,0.0038402457757296467,1.0260415958332736
Content writing,CONTROL,NOUN,control,6,185,1888,6,0.026,0.0033282130056323605,2.055661013014433
Content writing,CONTROL,NOUN,decision,14,185,1888,14,0.058,0.007424475166410651,2.055661013014433
