transcript_id,section,sent_id,dep_word_id,head,deprel,dep_lemma,dep_text,verb_word_id,verb_lemma,verb_category,edge_role,group,long_cluster
creativity_0006,walkthrough,5,9,11,nsubj,i,I,11,rely,AI_USE,SUBJECT,Fiction writing,0
creativity_0006,walkthrough,7,27,29,nsubj,ai,AI,29,help,AI_USE,SUBJECT,Fiction writing,0
creativity_0006,walkthrough,8,10,11,nsubj,world,world,11,build,AUTHORSHIP,SUBJECT,Fiction writing,0
creativity_0006,walkthrough,8,26,25,obj,ai,AI,25,use,AI_USE,OBJECT,Fiction writing,0
creativity_0006,walkthrough,8,32,28,obj,piece,pieces,28,generate,AUTHORSHIP,OBJECT,Fiction writing,0
creativity_0006,walkthrough,8,40,39,obj,i,me,39,help,AI_USE,OBJECT,Fiction writing,0
creativity_0006,walkthrough,9,7,8,nsubj,i,I,8,use,AI_USE,SUBJECT,Fiction writing,0
creativity_0006,walkthrough,9,9,8,obj,ai,AI,8,use,AI_USE,OBJECT,Fiction writing,0
creativity_0006,walkthrough,9,10,8,obj,most,most,8,use,AI_USE,OBJECT,Fiction writing,0
creativity_0006,project_example,2,11,10,iobj,it,it,10,ask,AI_USE,OBJECT,Fiction writing,0
creativity_0006,project_example,2,28,27,obj,it,it,27,feed,AI_USE,OBJECT,Fiction writing,0
creativity_0006,project_example,2,31,27,obj,bit,bit,27,feed,AI_USE,OBJECT,Fiction writing,0
creativity_0006,project_example,3,29,30,nsubj,that,that,30,let,CONTROL,SUBJECT,Fiction writing,0
creativity_0006,project_example,3,31,30,obj,i,me,30,let,CONTROL,OBJECT,Fiction writing,0
creativity_0006,project_example,3,34,32,obj,scenario,scenarios,32,explore,IDEATION,OBJECT,Fiction writing,0
creativity_0006,project_example,4,6,8,nsubj,i,I,8,ask,AI_USE,SUBJECT,Fiction writing,0
creativity_0006,project_example,4,10,8,iobj,ai,AI,8,ask,AI_USE,OBJECT,Fiction writing,0
creativity_0006,project_example,12,17,15,obj,scene,scene,15,create,AUTHORSHIP,OBJECT,Fiction writing,0
creativity_0006,project_example,14,5,7,nsubj,ai,AI,7,write,AUTHORSHIP,SUBJECT,Fiction writing,0
creativity_0006,project_example,14,44,46,nsubj,that,that,46,feed,AI_USE,SUBJECT,Fiction writing,0
creativity_0006,project_example,14,67,68,nsubj,they,they,68,rely,AI_USE,SUBJECT,Fiction writing,0
creativity_0006,dynamic,2,7,2,obj,model,models,2,use,AI_USE,OBJECT,Fiction writing,0
creativity_0006,dynamic,2,21,23,nsubj,ai,AI,23,drive,CONTROL,SUBJECT,Fiction writing,0
creativity_0006,dynamic,2,28,23,obj,making,making,23,drive,CONTROL,OBJECT,Fiction writing,0
creativity_0006,dynamic,3,1,15,nsubj:pass,what,What,15,lose,CONTROL,SUBJECT,Fiction writing,0
creativity_0006,dynamic,3,25,28,obj,that,that,28,feed,AI_USE,OBJECT,Fiction writing,0
creativity_0006,dynamic,3,26,28,nsubj:pass,it,it,28,feed,AI_USE,SUBJECT,Fiction writing,0
creativity_0006,dynamic,5,18,17,obj,character,characters,17,incorporate,AI_USE,OBJECT,Fiction writing,0
creativity_0006,dynamic,6,6,9,nsubj,i,I,9,think,IDEATION,SUBJECT,Fiction writing,0
creativity_0006,dynamic,7,13,11,obj,note,notes,11,write,AUTHORSHIP,OBJECT,Fiction writing,0
creativity_0006,changed_aspects,2,1,2,nsubj,i,I,2,think,IDEATION,SUBJECT,Fiction writing,0
creativity_0006,changed_aspects,2,4,6,nsubj:pass,it,it,6,help,AI_USE,SUBJECT,Fiction writing,0
creativity_0006,changed_aspects,4,1,6,nsubj,brute,Brute,6,help,AI_USE,SUBJECT,Fiction writing,0
creativity_0006,changed_aspects,5,8,9,nsubj,i,I,9,think,IDEATION,SUBJECT,Fiction writing,0
creativity_0006,changed_aspects,6,12,14,nsubj,i,I,14,use,AI_USE,SUBJECT,Fiction writing,0
creativity_0006,changed_aspects,6,15,14,obj,ai,AI,14,use,AI_USE,OBJECT,Fiction writing,0
creativity_0006,changed_aspects,7,1,3,nsubj,i,I,3,think,IDEATION,SUBJECT,Fiction writing,0
creativity_0006,changed_aspects,9,13,12,obj,ai,AI,12,use,AI_USE,OBJECT,Fiction writing,0
creativity_0006,changed_aspects,10,3,4,nsubj,i,I,4,think,IDEATION,SUBJECT,Fiction writing,0
creativity_0006,changed_aspects,12,4,6,nsubj,i,I,6,incorporate,AI_USE,SUBJECT,Fiction writing,0
creativity_0006,changed_aspects,12,7,6,obj,ai,AI,6,incorporate,AI_USE,OBJECT,Fiction writing,0
creativity_0006,changed_aspects,12,12,15,nsubj,i,I,15,use,AI_USE,SUBJECT,Fiction writing,0
creativity_0006,changed_aspects,12,16,15,obj,it,it,15,use,AI_USE,OBJECT,Fiction writing,0
creativity_0006,changed_aspects,12,20,18,obj,part,part,18,generate,AUTHORSHIP,OBJECT,Fiction writing,0
